Rank,Name,Net Worth,Age,Country,Source,Industry
1248.0,Daniel Ek,$2.4 B,39.0,Sweden,Spotify,Technology
1249.0,Alberto Roemmers,$2.4 B,95.0,Argentina,pharmaceuticals,Healthcare
1250.0,Timur Turlov,$2.4 B,34.0,Kazakhstan,stock brokerage,Finance & Investments
1251.0,John Fisher,$2.4 B,60.0,United States,Gap,Fashion & Retail
1252.0,Rodney Sacks,$2.4 B,72.0,United States,energy drinks,Food & Beverage
1253.0,Hamdi Ulukaya,$2.4 B,49.0,Turkey,greek yogurt,Food & Beverage
1254.0,Kommer Damen,$2.3 B,78.0,Netherlands,shipbuilding,Manufacturing
1255.0,Erman Ilicak,$2.3 B,54.0,Turkey,construction,Construction & Engineering
1256.0,Heloise Pratt,$2.3 B,59.0,Australia,"manufacturing, investment",Manufacturing
1257.0,Xiaojuan Zhang,$2.3 B,52.0,China,logistics,Logistics
1258.0,Henry Davis,$2.3 B,71.0,United States,beef processing,Food & Beverage
1259.0,Zhaobai Jiang,$2.3 B,58.0,China,real estate,Real Estate
1260.0,Qiu Jianping & family,$2.3 B,60.0,China,hand tools,Manufacturing
1261.0,Ray Davis,$2.3 B,80.0,United States,pipelines,Energy
1262.0,Osman Kibar,$2.3 B,51.0,United States,biotech,Healthcare
1263.0,Dirk Rossmann & family,$2.3 B,75.0,Germany,drugstores,Fashion & Retail
1264.0,Stephen Feinberg,$2.3 B,62.0,United States,private equity,Finance & Investments
1265.0,Adam Kwok,$2.3 B,39.0,Hong Kong,real estate,Real Estate
1266.0,Karin Schick,$2.3 B,,Germany,information technology,Technology
1267.0,Kenneth Feld & family,$2.3 B,73.0,United States,live entertainment,Media & Entertainment
1268.0,Frank Laukien,$2.3 B,62.0,United States,scientific equipment,Manufacturing
1269.0,Stephan Schmidheiny,$2.3 B,74.0,Switzerland,investments,Finance & Investments
1270.0,Houshan Bai,$2.3 B,58.0,China,lithium battery,Energy
1271.0,Alexander Frolov,$2.3 B,57.0,Russia,"mining, steel",Metals & Mining
1272.0,Louis Le Duff,$2.3 B,75.0,France,bakeries,Food & Beverage
1273.0,Wenrong Shen,$2.3 B,76.0,China,steel production,Metals & Mining
1274.0,Alex Beard,$2.3 B,54.0,United Kingdom,"mining, commodities",Metals & Mining
1275.0,Mario Germano Giuliani,$2.3 B,50.0,Switzerland,pharmaceuticals,Healthcare
1276.0,Solomon Lew,$2.3 B,77.0,Australia,retail,Fashion & Retail
1277.0,Guangxin Sun,$2.3 B,59.0,China,diversified,Diversified
1278.0,Koos Bekker,$2.3 B,69.0,South Africa,"media, investments",Media & Entertainment
1279.0,Serge Godin,$2.3 B,72.0,Canada,information technology,Technology
1280.0,Liang Rubo,$2.3 B,39.0,China,TikTok,Technology
1281.0,Mengquan Sun & family,$2.3 B,72.0,China,edible oil,Food & Beverage
1282.0,William Boyd & family,$2.3 B,90.0,United States,"casinos, banking",Gambling & Casinos
1283.0,Noam Gottesman,$2.3 B,60.0,United States,hedge funds,Finance & Investments
1284.0,Liang Zhaoxian,$2.3 B,57.0,China,appliances,Manufacturing
1285.0,Thomas Tull,$2.3 B,51.0,United States,"movies, investments",Media & Entertainment
1286.0,Timothy Boyle,$2.3 B,72.0,United States,Columbia Sportswear,Fashion & Retail
1287.0,Philip & Cristina Green,$2.3 B,70.0,United Kingdom,fashion retail,Fashion & Retail
1288.0,Prayudh Mahagitsiri,$2.3 B,76.0,Thailand,"coffee, shipping",Food & Beverage
1289.0,Ted Turner,$2.3 B,83.0,United States,cable television,Media & Entertainment
1290.0,Anand Burman,$2.3 B,69.0,India,consumer goods,Food & Beverage
1291.0,Yusuf Hamied,$2.3 B,85.0,India,pharmaceuticals,Healthcare
1292.0,Clayton Mathile,$2.3 B,81.0,United States,pet food,Food & Beverage
1293.0,David Walentas,$2.3 B,83.0,United States,real estate,Real Estate
1294.0,Richard Chandler,$2.3 B,63.0,New Zealand,investments,Finance & Investments
1295.0,Bill Haslam,$2.3 B,63.0,United States,gas stations,Fashion & Retail
1296.0,Erwin Franz Mueller,$2.3 B,89.0,Germany,drugstores,Fashion & Retail
1297.0,Yingming Wu,$2.3 B,55.0,China,batteries,Energy
1298.0,Cho Young-sik,$2.3 B,60.0,South Korea,diagnostics,Healthcare
1299.0,Ho Hung Anh,$2.3 B,51.0,Vietnam,"consumer products, banking",Finance & Investments
1300.0,Rubens Ometto Silveira Mello,$2.3 B,72.0,Brazil,"sugar, ethanol",Energy
1301.0,Christoph Zeller,$2.3 B,64.0,Liechtenstein,dental materials,Healthcare
1302.0,Chu Lam Yiu,$2.3 B,52.0,Hong Kong,flavorings,Manufacturing
1303.0,Douglas Hsu,$2.3 B,79.0,Taiwan,diversified,Diversified
1304.0,Erik Paulsson & family,$2.3 B,80.0,Sweden,"construction, real estate",Real Estate
1305.0,Zhang Wanzhen,$2.3 B,72.0,China,electronics components,Manufacturing
1306.0,Yadu Hari Dalmia & family,$2.2 B,74.0,India,cement,Manufacturing
1307.0,Christian Latouche,$2.2 B,81.0,France,accounting services,Finance & Investments
1308.0,Filiz Sahenk,$2.2 B,55.0,Turkey,diversified,Diversified
1309.0,Michael Ashcroft,$2.2 B,76.0,United Kingdom,security,Finance & Investments
1310.0,Zhenggang Dou,$2.2 B,68.0,China,"energy, chemicals",Diversified
1311.0,Martin Lau,$2.2 B,49.0,Hong Kong,e-commerce,Technology
1312.0,S.D. Shibulal,$2.2 B,67.0,India,software services,Technology
1313.0,Alex Atallah,$2.2 B,30.0,United States,online marketplace,Technology
1314.0,Weimin Du,$2.2 B,58.0,China,vaccines,Healthcare
1315.0,Li Wa,$2.2 B,56.0,Hong Kong,real estate,Real Estate
1316.0,Alexander Svetakov,$2.2 B,54.0,Russia,real estate,Finance & Investments
1317.0,Brett Blundy,$2.2 B,62.0,Australia,"retail, agribusiness",Fashion & Retail
1318.0,Devin Finzer,$2.2 B,31.0,United States,online marketplace,Technology
1319.0,Liang Xinjun,$2.2 B,54.0,China,conglomerate,Diversified
1320.0,Jeffrey Talpins,$2.2 B,47.0,United States,hedge fund,Finance & Investments
1321.0,Chris Britt,$2.2 B,49.0,United States,fintech,Finance & Investments
1322.0,Robert Friedland,$2.2 B,71.0,United States,mining,Metals & Mining
1323.0,Lin Chang Su-O,$2.2 B,81.0,Taiwan,real estate,Real Estate
1324.0,Ming Tian,$2.2 B,68.0,China,measuring instruments,Technology
1325.0,Phillip Frost,$2.2 B,85.0,United States,pharmaceuticals,Healthcare
1326.0,Lin Fanlian,$2.2 B,60.0,China,"energy, real estate",Energy
1327.0,Arvind Tiku,$2.2 B,52.0,India,"oil & gas, investments",Energy
1328.0,Jeffrey Gundlach,$2.2 B,63.0,United States,investments,Finance & Investments
1329.0,Lin Lairong & family,$2.2 B,53.0,China,iron ore mining,Metals & Mining
1330.0,Torsten Toeller,$2.2 B,55.0,Germany,pet food,Fashion & Retail
1331.0,John Hancock,$2.2 B,46.0,Australia,mining,Metals & Mining
1332.0,Daniel Lubetzky,$2.2 B,53.0,United States,snack bars,Food & Beverage
1333.0,Riaz Valani,$2.2 B,45.0,United States,e-cigarettes,Finance & Investments
1334.0,Georg Haub,$2.2 B,60.0,Germany,retail,Fashion & Retail
1335.0,Howard Marks,$2.2 B,75.0,United States,private equity,Finance & Investments
1336.0,Pieter van der Does,$2.2 B,52.0,Netherlands,payments software,Technology
1337.0,Hortensia Herrero,$2.2 B,71.0,Spain,supermarkets,Fashion & Retail
1338.0,Craig McCaw,$2.2 B,72.0,United States,telecom,Telecom
1339.0,Lang Walker,$2.2 B,76.0,Australia,real estate,Real Estate
1340.0,"B. Wayne Hughes, Jr.",$2.2 B,61.0,United States,storage facilities,Real Estate
1341.0,Vincent McMahon,$2.2 B,76.0,United States,entertainment,Sports
1342.0,Hope Welker,$2.2 B,36.0,Australia,mining,Metals & Mining
1343.0,Bruce Karsh,$2.2 B,66.0,United States,private equity,Finance & Investments
1344.0,Mu Rongjun,$2.2 B,42.0,China,e-commerce,Technology
1345.0,Xie Bingkun & family,$2.2 B,55.0,China,pearlescent pigments,Fashion & Retail
1346.0,Jonathan Kwok,$2.2 B,30.0,Hong Kong,Real Estate,Real Estate
1347.0,Bianca Rinehart,$2.2 B,45.0,Australia,mining,Metals & Mining
1348.0,Zhou Jian,$2.2 B,45.0,China,solar energy equipment,Energy
1349.0,Cen Junda,$2.2 B,57.0,China,pharmaceuticals,Healthcare
1350.0,Ginia Rinehart,$2.2 B,35.0,Australia,mining,Metals & Mining
1351.0,Mohamed Al Fayed,$2.1 B,93.0,Egypt,"retail, investments",Fashion & Retail
1352.0,John Elkann,$2.1 B,46.0,Italy,"FIAT, investments",Finance & Investments
1353.0,Eiichi Kuriwada,$2.1 B,75.0,Japan,package delivery,Logistics
1354.0,Xiangdong Qi,$2.1 B,51.0,China,software,Technology
1355.0,Wu Ying,$2.1 B,57.0,China,materials,Manufacturing
1356.0,Faisal Bin Qassim Al Thani,$2.1 B,74.0,Qatar,"hotels, diversified",Diversified
1357.0,Bob Ell,$2.1 B,77.0,Australia,real estate,Real Estate
1358.0,Kwek Leng Kee,$2.1 B,67.0,Singapore,diversified,Diversified
1359.0,Jianhua Ren,$2.1 B,65.0,China,kitchen appliances,Manufacturing
1360.0,Amy Wyss,$2.1 B,51.0,United States,medical equipment,Healthcare
1361.0,Masaaki Arai,$2.1 B,56.0,Japan,home sales,Real Estate
1362.0,Fang Xiaoliang & family,$2.1 B,63.0,China,biotech,Healthcare
1363.0,Lai Shixian,$2.1 B,47.0,China,sports apparel,Fashion & Retail
1364.0,Alice Schwartz,$2.1 B,95.0,United States,biotech,Healthcare
1365.0,Xiang Guangming & family,$2.1 B,58.0,China,waste disposal,Manufacturing
1366.0,Tatyana Bakalchuk,$2.1 B,46.0,Russia,ecommerce,Fashion & Retail
1367.0,Lindsay Fox,$2.1 B,84.0,Australia,"logistics, real estate",Logistics
1368.0,Lau Cho Kun,$2.1 B,86.0,Malaysia,"palm oil, property",Diversified
1369.0,Peter Sondakh,$2.1 B,72.0,Indonesia,investments,Finance & Investments
1370.0,Xu Shugen,$2.1 B,56.0,China,"construction, mining machinery",Manufacturing
1371.0,Lee Bass,$2.1 B,65.0,United States,"oil, investments",Energy
1372.0,Gary Friedman,$2.1 B,64.0,United States,Furniture retail,Fashion & Retail
1373.0,Lee Hae-jin,$2.1 B,54.0,South Korea,Internet,Technology
1374.0,Song Fei,$2.1 B,55.0,China,machinery,Manufacturing
1375.0,Steven Meng Yang & family,$2.1 B,39.0,China,electronics,Technology
1376.0,Alberto Bombassei,$2.1 B,81.0,Italy,automotive brakes,Automotive
1377.0,Gordon Getty,$2.1 B,88.0,United States,Getty Oil,Energy
1378.0,Harald Link,$2.1 B,67.0,Thailand,diversified,Diversified
1379.0,Timothy Springer,$2.1 B,74.0,United States,biotech,Healthcare
1380.0,Clayton Zekelman,$2.1 B,53.0,Canada,steel,Manufacturing
1381.0,Jim Breyer,$2.1 B,60.0,United States,venture capital,Technology
1382.0,Dennis Gillings,$2.1 B,77.0,United Kingdom,clinical trials,Healthcare
1383.0,Liu Xiucai & family,$2.1 B,65.0,United States,chemicals,Manufacturing
1384.0,Suyu Su & family,$2.1 B,73.0,China,"utilities, real estate",Real Estate
1385.0,Hongfei Zhao,$2.1 B,47.0,China,software,Technology
1386.0,Ron Burkle,$2.1 B,69.0,United States,"supermarkets, investments",Finance & Investments
1387.0,Harsh Goenka,$2.1 B,64.0,India,diversified,Diversified
1388.0,Yangyong Luo & family,$2.1 B,46.0,China,mining,Metals & Mining
1389.0,Elizabeth Sy,$2.1 B,69.0,Philippines,diversified,Diversified
1390.0,Chen Huwen,$2.1 B,51.0,China,stationery,Manufacturing
1391.0,David Hains,$2.1 B,91.0,Australia,Investments,Finance & Investments
1392.0,Igor Makarov,$2.1 B,60.0,Russia,investments,Energy
1393.0,Sukanto Tanoto,$2.1 B,72.0,Indonesia,diversified,Diversified
1394.0,Chen Huxiong,$2.1 B,51.0,China,stationery,Manufacturing
1395.0,Bahaa Hariri,$2.1 B,55.0,Lebanon,"real estate, investments",Real Estate
1396.0,Alexander Mamut,$2.1 B,62.0,Russia,investments,Finance & Investments
1397.0,Jayshree Ullal,$2.1 B,61.0,United States,computer networking,Technology
1398.0,Chen Xuehua,$2.1 B,61.0,China,nonferrous,Metals & Mining
1399.0,Shmuel Harlap,$2.1 B,77.0,Israel,automotive,Automotive
1400.0,David Mindus,$2.1 B,50.0,Sweden,real estate,Real Estate
1401.0,Sunny Varkey,$2.1 B,64.0,India,education,Service
1402.0,Bruce Cheng,$2.1 B,86.0,Taiwan,electronics,Technology
1403.0,Gerry Harvey,$2.1 B,82.0,Australia,retail,Fashion & Retail
1404.0,Yuji Otsuka,$2.1 B,68.0,Japan,"copy machines, software",Technology
1405.0,Jitendra Virwani,$2.1 B,56.0,India,real estate,Real Estate
1406.0,Dermot Desmond,$2.1 B,71.0,Ireland,finance,Finance & Investments
1407.0,Hou Juncheng,$2.1 B,57.0,China,cosmetics,Healthcare
1408.0,Ajay Parekh,$2.1 B,64.0,India,adhesives,Manufacturing
1409.0,Wang Wenmo,$2.1 B,65.0,China,sports apparel,Fashion & Retail
1410.0,Bill and Jean Adderley & family,$2.1 B,,United Kingdom,home furnishings,Fashion & Retail
1411.0,Fred Ehrsam,$2.1 B,33.0,United States,cryptocurrency exchange,Finance & Investments
1412.0,Thomas James,$2.1 B,79.0,United States,finance,Finance & Investments
1413.0,Narendrakumar Parekh,$2.1 B,83.0,India,adhesives,Manufacturing
1414.0,Thomas Wu,$2.1 B,72.0,Taiwan,finance,Finance & Investments
1415.0,Herb Chambers,$2 B,80.0,United States,car dealerships,Automotive
1416.0,Kim Chang-soo,$2 B,61.0,South Korea,apparel,Fashion & Retail
1417.0,David Nahmad,$2 B,74.0,Monaco,art collection,Fashion & Retail
1418.0,Sylvia Stroeher,$2 B,66.0,Germany,cosmetics,Fashion & Retail
1419.0,Daniel Chiu,$2 B,61.0,Hong Kong,oil & gas,Energy
1420.0,Vyacheslav Kim,$2 B,52.0,Kazakhstan,fintech,Finance & Investments
1421.0,Florentino Perez,$2 B,75.0,Spain,construction,Construction & Engineering
1422.0,Wichai Thongtang,$2 B,75.0,Thailand,investments,Finance & Investments
1423.0,Tim Cook,$2 B,61.0,United States,Apple,Technology
1424.0,Kuan Kam Hon & family,$2 B,74.0,Malaysia,rubber gloves,Manufacturing
1425.0,Jennifer Pritzker,$2 B,71.0,United States,"hotels, investments",Finance & Investments
1426.0,Todd Wagner,$2 B,61.0,United States,online media,Media & Entertainment
1427.0,Brunello Cucinelli & family,$2 B,68.0,Italy,fashion,Fashion & Retail
1428.0,Egor Kulkov,$2 B,50.0,Russia,pharmaceuticals,Healthcare
1429.0,Linda Pritzker,$2 B,68.0,United States,"hotels, investments",Service
1430.0,Wang Jianguo,$2 B,62.0,China,retail,Fashion & Retail
1431.0,Georgi Domuschiev,$2 B,49.0,Bulgaria,"animal health, investments",Diversified
1432.0,Josh Kushner,$2 B,36.0,United States,venture capital,Finance & Investments
1433.0,P.V. Ramprasad Reddy,$2 B,64.0,India,pharmaceuticals,Healthcare
1434.0,Shuifu Wang,$2 B,67.0,China,Manufacturing,Manufacturing
1435.0,Kiril Domuschiev,$2 B,52.0,Bulgaria,"animal health, investments",Diversified
1436.0,Henry Laufer,$2 B,76.0,United States,hedge funds,Finance & Investments
1437.0,"Joe Rogers, Jr.",$2 B,75.0,United States,Waffle House,Food & Beverage
1438.0,Wenbiao Wang,$2 B,65.0,China,"natural gas, fertilizers",Manufacturing
1439.0,Glenn Dubin,$2 B,64.0,United States,hedge funds,Finance & Investments
1440.0,Thomas Lee,$2 B,78.0,United States,private equity,Finance & Investments
1441.0,Ruan Shuilong & family,$2 B,86.0,China,chemicals,Manufacturing
1442.0,Kanye West,$2 B,44.0,United States,"music, sneakers",Fashion & Retail
1443.0,S. Daniel Abraham,$2 B,97.0,United States,Slim-Fast,Food & Beverage
1444.0,James Duff,$2 B,61.0,United States,"tires, diversified",Diversified
1445.0,Michael Lee-Chin,$2 B,71.0,Canada,mutual funds,Finance & Investments
1446.0,Phil Ruffin,$2 B,87.0,United States,"casinos, real estate",Diversified
1447.0,Evan Williams,$2 B,50.0,United States,Twitter,Technology
1448.0,Aziz Akhannouch & family,$2 B,61.0,Morocco,"petroleum, diversified",Diversified
1449.0,Thomas Duff,$2 B,65.0,United States,"tires, diversified",Diversified
1450.0,Li Xuhui,$2 B,53.0,China,soy sauce,Food & Beverage
1451.0,Vinod Saraf,$2 B,69.0,India,chemicals,Manufacturing
1452.0,Zhongyi Wu,$2 B,48.0,China,electronics,Technology
1453.0,Andrey Andreev,$2 B,48.0,United Kingdom,online dating,Technology
1454.0,Robert Duggan,$2 B,77.0,United States,pharmaceuticals,Healthcare
1455.0,Lim Kok Thay,$2 B,70.0,Malaysia,casinos,Gambling & Casinos
1456.0,Maria-Elisabeth Schaeffler-Thumann,$2 B,80.0,Germany,auto parts,Automotive
1457.0,Zhihan Xu,$2 B,49.0,China,electronics,Technology
1458.0,Ramon Ang,$2 B,68.0,Philippines,diversified,Food & Beverage
1459.0,Maria Franca Fissolo,$2 B,87.0,Italy,"Nutella, chocolates",Food & Beverage
1460.0,Joao Roberto Marinho,$2 B,68.0,Brazil,media,Media & Entertainment
1461.0,Genhuo Shao,$2 B,56.0,China,agribusiness,Food & Beverage
1462.0,Yan Zhi,$2 B,49.0,China,real estate,Real Estate
1463.0,Guilherme Benchimol,$2 B,45.0,Brazil,financial services,Finance & Investments
1464.0,Fu Mingkang & family,$2 B,59.0,China,manufacturing,Manufacturing
1465.0,Jose Roberto Marinho,$2 B,66.0,Brazil,media,Media & Entertainment
1466.0,Shen Xiqiang & family,$2 B,74.0,China,chemical,Energy
1467.0,Michael Ying,$2 B,72.0,Hong Kong,retail,Fashion & Retail
1468.0,Ryan Breslow,$2 B,27.0,United States,e-commerce software,Technology
1469.0,Orion Hindawi,$2 B,42.0,United States,software,Technology
1470.0,Jim McKelvey,$2 B,56.0,United States,mobile payments,Technology
1471.0,Thaksin Shinawatra,$2 B,72.0,Thailand,investments,Finance & Investments
1472.0,Cao Jianwei,$2 B,43.0,China,semiconductors,Manufacturing
1473.0,Ji Qi,$2 B,55.0,China,"hotels, motels",Real Estate
1474.0,Robert Miller,$2 B,88.0,United Kingdom,retail,Fashion & Retail
1475.0,Alexander Skorobogatko,$2 B,54.0,Russia,"real estate, airport",Logistics
1476.0,Sezai Bacaksiz,$1.9 B,72.0,Turkey,diversified,Diversified
1477.0,Reinold Geiger,$1.9 B,74.0,Austria,beauty products,Fashion & Retail
1478.0,Keeree Kanjanapas,$1.9 B,71.0,Thailand,transportation,Real Estate
1479.0,Pedro Moreira Salles,$1.9 B,62.0,Brazil,"banking, minerals",Diversified
1480.0,Dilip Surana,$1.9 B,56.0,India,pharmaceuticals,Healthcare
1481.0,Baokun Bai,$1.9 B,52.0,China,hardware,Manufacturing
1482.0,He Zhenggang,$1.9 B,68.0,China,chemicals,Manufacturing
1483.0,Kim Dae-il,$1.9 B,42.0,South Korea,mobile gaming,Technology
1484.0,Alexander Nesis,$1.9 B,59.0,Russia,"metals, banking, fertilizers",Finance & Investments
1485.0,Djoko Susanto,$1.9 B,72.0,Indonesia,supermarkets,Fashion & Retail
1486.0,Acharya Balkrishna,$1.9 B,49.0,India,consumer goods,Food & Beverage
1487.0,Roberto Hernandez Ramirez,$1.9 B,80.0,Mexico,"banking, investments",Finance & Investments
1488.0,Kim Hyoung-nyon,$1.9 B,46.0,South Korea,fintech,Finance & Investments
1489.0,Nguyen Dang Quang,$1.9 B,58.0,Vietnam,"consumer products, banking",Food & Beverage
1490.0,Sze Man Bok,$1.9 B,72.0,China,hygiene products,Manufacturing
1491.0,Kiki Barki,$1.9 B,82.0,Indonesia,coal,Energy
1492.0,Hoi Kin Hong,$1.9 B,69.0,Macau,real estate,Real Estate
1493.0,Andrei Kozitsyn,$1.9 B,61.0,Russia,metals,Metals & Mining
1494.0,Oei Hong Leong,$1.9 B,74.0,Singapore,investments,Finance & Investments
1495.0,Alain Taravella,$1.9 B,74.0,France,real estate development,Real Estate
1496.0,John Bloor,$1.9 B,78.0,United Kingdom,"real estate, manufacturing",Diversified
1497.0,Huang Qiaoling,$1.9 B,63.0,China,amusement parks,Media & Entertainment
1498.0,Thomas Kwok,$1.9 B,70.0,Hong Kong,real estate,Real Estate
1499.0,Nihat Ozdemir,$1.9 B,72.0,Turkey,diversified,Diversified
1500.0,Martin Viessmann,$1.9 B,68.0,Germany,heating and cooling equipment,Manufacturing
1501.0,Nicola Bulgari,$1.9 B,81.0,Italy,luxury goods,Fashion & Retail
1502.0,Lei Jufang,$1.9 B,69.0,China,pharmaceuticals,Healthcare
1503.0,Gretel Packer,$1.9 B,56.0,Australia,casinos,Media & Entertainment
1504.0,Georg von Opel,$1.9 B,55.0,Switzerland,"real estate, investments",Finance & Investments
1505.0,Alejandro Bulgheroni,$1.9 B,77.0,Argentina,oil & gas,Energy
1506.0,David Lichtenstein,$1.9 B,60.0,United States,real estate,Real Estate
1507.0,Benjamin Zhengmin Pan & family,$1.9 B,52.0,China,electronics,Technology
1508.0,Changtian Wang,$1.9 B,56.0,China,"TV, movie production",Media & Entertainment
1509.0,Chen Kaichen,$1.9 B,,China,household chemicals,Manufacturing
1510.0,Lin Dingqiang & family,$1.9 B,55.0,Hong Kong,real estate,Real Estate
1511.0,Victor Pinchuk,$1.9 B,61.0,Ukraine,"steel pipes, diversified",Metals & Mining
1512.0,Wang Chaobin,$1.9 B,66.0,China,real estate,Real Estate
1513.0,Fernando Chico Pardo,$1.9 B,70.0,Mexico,airport management,Service
1514.0,Mikhail Lomtadze,$1.9 B,46.0,Georgia,fintech,Finance & Investments
1515.0,Alexander Ponomarenko,$1.9 B,57.0,Russia,"real estate, airport",Logistics
1516.0,Wang Chou-hsiong,$1.9 B,81.0,Taiwan,footwear,Manufacturing
1517.0,Jose Luis Cutrale,$1.9 B,75.0,Brazil,orange juice,Food & Beverage
1518.0,Melissa Ma,$1.9 B,,China,Internet search,Technology
1519.0,Qi Jinxing,$1.9 B,60.0,China,real estate,Real Estate
1520.0,Wang Xiaoshen,$1.9 B,53.0,China,lithium,Manufacturing
1521.0,D. Leopoldo Del Pino,$1.9 B,59.0,Spain,construction,Construction & Engineering
1522.0,Yusaku Maezawa,$1.9 B,46.0,Japan,online retail,Technology
1523.0,Larry Robbins,$1.9 B,52.0,United States,hedge funds,Finance & Investments
1524.0,Wei Yin-Heng,$1.9 B,63.0,Taiwan,"food, beverages",Food & Beverage
1525.0,James Dinan,$1.9 B,62.0,United States,hedge funds,Finance & Investments
1526.0,Katarina Martinson,$1.9 B,40.0,Sweden,investments,Diversified
1527.0,Dwight Schar,$1.9 B,80.0,United States,"homebuilding, NFL team",Construction & Engineering
1528.0,Xue Xiangdong & family,$1.9 B,63.0,China,software,Technology
1529.0,Anu Aga,$1.9 B,79.0,India,engineering,Construction & Engineering
1530.0,Guangming Fu & family,$1.9 B,68.0,China,poultry,Food & Beverage
1531.0,Romano Minozzi,$1.9 B,87.0,Italy,"utilities, diversified",Diversified
1532.0,Sun Hongjun,$1.9 B,48.0,China,semiconductors,Technology
1533.0,David Zalik,$1.9 B,48.0,United States,financial technology,Technology
1534.0,Joy Alukkas,$1.9 B,65.0,India,jewelry,Fashion & Retail
1535.0,Mario Gabelli,$1.9 B,80.0,United States,money management,Finance & Investments
1536.0,Willis Johnson,$1.9 B,74.0,United States,damaged cars,Automotive
1537.0,Anand Surana,$1.9 B,51.0,India,pharmaceuticals,Healthcare
1538.0,Igor Altushkin,$1.8 B,51.0,Russia,metals,Metals & Mining
1539.0,Ibrahim Erdemoglu,$1.8 B,59.0,Turkey,carpet,Manufacturing
1540.0,Huang Min,$1.8 B,48.0,China,machinery,Manufacturing
1541.0,Wolfgang Leitner,$1.8 B,69.0,Austria,engineering,Construction & Engineering
1542.0,Pierre Karl Péladeau,$1.8 B,60.0,Canada,media,Media & Entertainment
1543.0,Wu Lanlan & family,$1.8 B,48.0,China,packaging,Manufacturing
1544.0,Roberto Angelini Rossi,$1.8 B,73.0,Chile,"forestry, mining",Diversified
1545.0,Philip Fayer,$1.8 B,,Canada,online payments,Finance & Investments
1546.0,Stanley Hubbard,$1.8 B,88.0,United States,DirecTV,Media & Entertainment
1547.0,Liu Zhongtian & family,$1.8 B,58.0,China,aluminum products,Manufacturing
1548.0,Miranda Qu,$1.8 B,37.0,China,e-commerce,Fashion & Retail
1549.0,Wu Yulan,$1.8 B,52.0,China,pharmaceuticals,Healthcare
1550.0,Nigel Austin,$1.8 B,51.0,Australia,retail,Fashion & Retail
1551.0,Paul Foster,$1.8 B,64.0,United States,oil refining,Energy
1552.0,Hui Lin Chit,$1.8 B,68.0,China,hygiene products,Manufacturing
1553.0,Bill Malhotra,$1.8 B,72.0,Canada,real estate,Real Estate
1554.0,Phillip T. (Terry) Ragon,$1.8 B,72.0,United States,health IT,Technology
1555.0,Elaine Wynn,$1.8 B,79.0,United States,"casinos, hotels",Gambling & Casinos
1556.0,Bang Jun-hyuk,$1.8 B,53.0,South Korea,online gaming,Media & Entertainment
1557.0,James France,$1.8 B,77.0,United States,"Nascar, racing",Sports
1558.0,Hal Jackman,$1.8 B,89.0,Canada,"insurance, investments",Finance & Investments
1559.0,Charlwin Mao,$1.8 B,,China,e-commerce,Fashion & Retail
1560.0,G. Rajendran,$1.8 B,79.0,India,jewellery,Fashion & Retail
1561.0,Xu Shijun & family,$1.8 B,59.0,China,manufacturing,Manufacturing
1562.0,O. Francis Biondi,$1.8 B,57.0,United States,hedge funds,Finance & Investments
1563.0,Yasuhiro Fukushima,$1.8 B,74.0,Japan,video games,Media & Entertainment
1564.0,Stephen Jarislowsky,$1.8 B,96.0,Canada,money management,Finance & Investments
1565.0,George Marcus,$1.8 B,80.0,United States,real estate,Real Estate
1566.0,Krit Ratanarak,$1.8 B,75.0,Thailand,"media, real estate",Media & Entertainment
1567.0,Xu Xudong & family,$1.8 B,52.0,China,auto parts,Automotive
1568.0,Chang Byung-gyu,$1.8 B,48.0,South Korea,online games,Technology
1569.0,Zhongru Gan,$1.8 B,73.0,China,pharmaceuticals,Healthcare
1570.0,Mark & Robyn Jones,$1.8 B,,United States,insurance,Finance & Investments
1571.0,Yves-Loic Martin,$1.8 B,56.0,France,laboratory services,Healthcare
1572.0,Jerry Reinsdorf,$1.8 B,86.0,United States,sports teams,Sports
1573.0,Yang Xuegang,$1.8 B,57.0,China,coking,Manufacturing
1574.0,Chang Kuo-Ming,$1.8 B,,Taiwan,Transportation,Logistics
1575.0,Rahul Gautam,$1.8 B,69.0,India,mattresses,Fashion & Retail
1576.0,George Joseph,$1.8 B,100.0,United States,insurance,Finance & Investments
1577.0,Gary Michelson,$1.8 B,73.0,United States,medical patents,Healthcare
1578.0,Mochtar Riady & family,$1.8 B,92.0,Indonesia,diversified,Diversified
1579.0,Zhang Chuanwei & family,$1.8 B,59.0,China,machinery,Manufacturing
1580.0,Chen Gang,$1.8 B,54.0,China,solar energy,Energy
1581.0,Ali Ghodsi,$1.8 B,43.0,Sweden,data analytics,Technology
1582.0,Kim Kardashian,$1.8 B,41.0,United States,"cosmetics, reality TV",Fashion & Retail
1583.0,Robert G. Miller,$1.8 B,76.0,Canada,electronics components,Technology
1584.0,Rajju Shroff,$1.8 B,88.0,India,agrochemicals,Manufacturing
1585.0,Xuexin Zhang & family,$1.8 B,74.0,China,aluminum,Metals & Mining
1586.0,Liying Chen,$1.8 B,46.0,China,package delivery,Logistics
1587.0,Giammaria Giuliani,$1.8 B,44.0,Switzerland,pharmaceuticals,Healthcare
1588.0,Dominika Kulczyk,$1.8 B,44.0,Poland,diversified,Finance & Investments
